Model;BATCH SIZE;LR;WEIGHT DECAY;NUM EPOCHS;epoch;AP 50 95 all;AP 50 all;AP 75 all;AP 50 95 small;AP 50 95 medium;AP 50 95 large
FasterRCNN;4,0;0,0;0,0045;3,0;0,0;0,0073;0,029;0,0019;0,0;0,0001;0,0198
FasterRCNN;4,0;0,0002;0,0074;9,0;2,0;0,0784;0,2162;0,0433;0,0;0,0227;0,1868
FasterRCNN;2,0;0,0079;0,0033;1,0;0,0;0,0225;0,0833;0,0048;0,0;0,0085;0,0489
FasterRCNN;4,0;0,0023;0,0038;1,0;0,0;0,0685;0,2058;0,0237;0,0;0,0178;0,1671
FasterRCNN;4,0;0,0053;0,0;3,0;2,0;0,0954;0,209;0,0758;0,0;0,0226;0,2385
FasterRCNN;8,0;0,0001;0,0023;3,0;0,0;0,016;0,0514;0,0057;0,0;0,0008;0,0419
FasterRCNN;2,0;0,0017;0,0004;7,0;6,0;0,0926;0,2132;0,0676;0,0;0,0178;0,2421
FasterRCNN;2,0;0,0308;0,0001;2,0;0,0;0,0454;0,1152;0,0303;0,0;0,0035;0,1628
FasterRCNN;8,0;0,0027;0,0065;5,0;2,0;0,0525;0,1626;0,0145;0,0;0,0133;0,1412
FasterRCNN;4,0;0,0376;0,0025;1,0;0,0;0,0017;0,0078;0,0003;0,0;0,0001;0,0039
best;0,055;0,1566;0,0296;0,0;0,0185;0,1394;0,0967;0,1391;0,1399;0,001;0,077
