Model;BATCH SIZE;LR;WEIGHT DECAY;NUM EPOCHS;epoch;AR 50 95 all maxDets 1;AR 50 95 all maxDets 10;AR 50 95 all maxDets 100;AR 50 95 small maxDets 100;AR 50 95 medium maxDets 100;AR 50 95 large maxDets 100
FasterRCNN;4,0;0,0;0,0045;3,0;0,0;0,0174;0,0433;0,0486;0,0;0,0097;0,1269
FasterRCNN;4,0;0,0002;0,0074;9,0;2,0;0,114;0,1487;0,1493;0,0007;0,0709;0,3063
FasterRCNN;2,0;0,0079;0,0033;1,0;0,0;0,0526;0,0859;0,0861;0,0;0,0417;0,1737
FasterRCNN;4,0;0,0023;0,0038;1,0;0,0;0,0952;0,1425;0,1446;0,0002;0,082;0,2751
FasterRCNN;4,0;0,0053;0,0;3,0;2,0;0,1227;0,1471;0,1472;0,0002;0,0562;0,3304
FasterRCNN;8,0;0,0001;0,0023;3,0;0,0;0,0322;0,0687;0,0793;0,0;0,0268;0,185
FasterRCNN;2,0;0,0017;0,0004;7,0;6,0;0,1245;0,1391;0,1391;0,0;0,0465;0,3206
FasterRCNN;2,0;0,0308;0,0001;2,0;0,0;0,0859;0,1393;0,1477;0,0004;0,0651;0,3215
FasterRCNN;8,0;0,0027;0,0065;5,0;2,0;0,0789;0,1237;0,125;0,0;0,0513;0,28
FasterRCNN;4,0;0,0376;0,0025;1,0;0,0;0,0087;0,0315;0,035;0,0;0,0016;0,1021
best;0,055;0,1566;0,0296;0,0;0,0185;0,2739;;;;;
