Model,BATCH SIZE,LR,WEIGHT DECAY,NUM EPOCHS,epoch,AP 50 95 all,AP 50 all,AP 75 all,AP 50 95 small,AP 50 95 medium,AP 50 95 large,AR 50 95 all maxDets 1,AR 50 95 all maxDets 10,AR 50 95 all maxDets 100,AR 50 95 small maxDets 100,AR 50 95 medium maxDets 100,AR 50 95 large maxDets 100
FasterRCNN,4,2e-05,0.0045,3,0,0.00727,0.029,0.00191,0.0,7e-05,0.01978,0.0174,0.04329,0.04856,0.0,0.0097,0.12685
FasterRCNN,4,0.00016,0.00743,9,2,0.07838,0.21619,0.04331,0.0,0.02268,0.18679,0.11398,0.14875,0.14926,0.00068,0.07092,0.30628
FasterRCNN,2,0.00795,0.00331,1,0,0.02249,0.08332,0.00476,0.0,0.00853,0.04887,0.05264,0.08592,0.08607,0.0,0.04171,0.1737
FasterRCNN,4,0.00231,0.00376,1,0,0.06846,0.20579,0.02373,0.0,0.01775,0.16709,0.09523,0.14245,0.1446,0.00017,0.08199,0.27511
FasterRCNN,4,0.0053,2e-05,3,2,0.09541,0.20897,0.07582,0.0,0.02259,0.23849,0.12269,0.14711,0.14718,0.00017,0.05625,0.33036
FasterRCNN,8,6e-05,0.00234,3,0,0.01599,0.05141,0.00573,0.0,0.00075,0.04192,0.03218,0.06871,0.0793,0.0,0.02677,0.18497
FasterRCNN,2,0.00169,0.00039,7,6,0.09255,0.21319,0.06757,0.0,0.01784,0.24212,0.12455,0.13906,0.13906,0.0,0.04654,0.32059
FasterRCNN,2,0.03084,0.00013,2,0,0.04535,0.11523,0.03028,0.0,0.00347,0.16284,0.08585,0.13931,0.14767,0.00045,0.06511,0.3215
FasterRCNN,8,0.00273,0.00649,5,2,0.05247,0.16259,0.01448,0.0,0.01332,0.14125,0.07886,0.12368,0.125,0.0,0.05126,0.27996
FasterRCNN,4,0.03758,0.00254,1,0,0.00165,0.00779,0.00028,0.0,5e-05,0.00386,0.00873,0.03152,0.03501,0.0,0.00162,0.10214
